agency_cd	site_no	Year	"Discharge, mean cubic feet per second"	"Discharge, million cubic meters per year"	Rolling 10-year total			"# US Geological Survey, Water Resources Data"	
USGS	9163500	1952	9431	8421.88366				# retrieved: 2022-08-10 17:11:38 EDT      (vaww01)	
USGS	9163500	1953	5211	4653.423365					
USGS	9163500	1954	2881	2572.733202				Entire period mean	54546.46841
USGS	9163500	1955	4009	3580.037281				2000-2015 mean	49811.71134
USGS	9163500	1956	4607	4114.051322	50996.555			1990-2015 mean	52333.61653
USGS	9163500	1957	10390	9278.270727	50216.96594				
USGS	9163500	1958	7492	6690.356524	48752.44582			Percentiles	
USGS	9163500	1959	4110	3670.230288	50008.00392			0	43220.31039
USGS	9163500	1960	5164	4611.452361	53476.41619			5	44896.47152
USGS	9163500	1961	3812	3404.116267	53012.05616			10	46819.99367
USGS	9163500	1962	8558	7642.294599	47262.9217				
USGS	9163500	1963	3571	3188.90325	45151.86954				
USGS	9163500	1964	4287	3828.2913	46819.99367				
USGS	9163500	1965	7893	7048.449553	48977.48184				
USGS	9163500	1966	4087	3649.691286	52202.99809				
USGS	9163500	1967	3952	3529.136277	48811.38383				
USGS	9163500	1968	5128	4579.304359	52276.2241				
USGS	9163500	1969	5978	5338.354418	53809.50522				
USGS	9163500	1970	7580	6768.940531	52611.09912				
USGS	9163500	1971	7424	6629.63252	53063.85016				
USGS	9163500	1972	4760	4250.680333	51819.90106				
USGS	9163500	1973	7451	6653.743522	52007.43108				
USGS	9163500	1974	6004	5361.57242	53649.65821				
USGS	9163500	1975	6551	5850.043459	53322.82018				
USGS	9163500	1976	4594	4102.442322	50017.82692				
USGS	9163500	1977	2559	2285.187179	51346.61102				
USGS	9163500	1978	5338	4766.834374	54605.16828				
USGS	9163500	1979	7817	6980.581547	61272.3068				
USGS	9163500	1980	7214	6442.102505	64968.43409				
USGS	9163500	1981	3723	3324.639261	70135.3325				
USGS	9163500	1982	6248	5579.464437	74270.81582				
USGS	9163500	1983	11100	9912.300777	73821.63679				
USGS	9163500	1984	13470	12028.71094	70310.36051				
USGS	9163500	1985	10690	9546.170748	66632.98622				
USGS	9163500	1986	10380	9269.340727	67634.9323				
USGS	9163500	1987	7190	6420.670503	66148.08719				
USGS	9163500	1988	4835	4317.655338	63818.25				
USGS	9163500	1989	3885	3469.305272	55925.02238				
USGS	9163500	1990	3096	2764.728217	55110.60632				
USGS	9163500	1991	4845	4326.585339	52679.86013				
USGS	9163500	1992	4583	4092.619321	55033.80831				
USGS	9163500	1993	8491	7582.463594	57312.74449				
USGS	9163500	1994	4631	4135.483324	59217.51364				
USGS	9163500	1995	9778	8731.754684	60757.04576				
USGS	9163500	1996	7658	6838.594536	59882.79869				
USGS	9163500	1997	9826	8774.618688	57948.56054				
USGS	9163500	1998	7387	6596.591517	53614.8312				
USGS	9163500	1999	6018	5374.074421	52470.00511				
USGS	9163500	2000	4820	4304.260337	49287.35286				
USGS	9163500	2001	3866	3452.338271	47337.04071				
USGS	9163500	2002	2417	2158.381169	43220.31039				
USGS	9163500	2003	3638	3248.734255	44147.24446				
USGS	9163500	2004	3349	2990.657234	44896.47152				
USGS	9163500	2005	6214	5549.102435	45143.83254				
USGS	9163500	2006	5474	4888.282383	50183.92493				
USGS	9163500	2007	5216	4657.888365	50999.234				
USGS	9163500	2008	8425	7523.52559	50725.08298				
USGS	9163500	2009	6857	6123.30148	54006.85823				
USGS	9163500	2010	5097	4551.621357	54261.36325				
USGS	9163500	2011	9510	8492.430666	54748.94129				
USGS	9163500	2012	3330	2973.690233	55586.57536				
USGS	9163500	2013	3331	2974.583233	51174.26201				
USGS	9163500	2014	7024	6272.432492	51628.79905				
USGS	9163500	2015	6499	5803.607455	50700.07897				
USGS	9163500	2016	6020	5375.860421	44726.80151				
USGS	9163500	2017	6154	5495.522431					
USGS	9163500	2018	3484	3111.212244					
USGS	9163500	2019	7366	6577.838516					
USGS	9163500	2020	4057	3622.901284					
USGS	9163500	2021	2821	2519.153197					
