,Duration,Magnitude,%_users,Outflow_percentile_violation,Classification
1,0,0.0,0.0,0,History
2,2,3.0,33.0,1,History
3,2,4.0,32.0,1,Encompassing
4,2,4.0,30.0,1,History
5,2,3.0,30.0,999,History
6,2,4.0,27.0,1,History
7,2,4.0,31.0,1,History
8,2,3.0,30.0,1,Paleo
9,2,4.0,34.0,1,Paleo
10,2,4.0,27.0,1,History
11,2,6.0,45.0,0,Encompassing
12,2,6.0,46.0,0,Encompassing
13,2,5.0,44.0,0,Encompassing
14,2,6.0,46.0,0,Encompassing
15,2,5.0,41.0,0,Encompassing
16,2,5.0,45.0,0,Encompassing
17,2,6.0,45.0,0,Encompassing
18,2,6.0,43.0,0,Encompassing
19,2,6.0,45.0,0,Encompassing
20,2,6.0,42.0,0,Encompassing
21,0,0.0,0.0,0,History
22,0,0.0,0.0,0,History
23,0,0.0,0.0,0,History
24,1,4.0,37.0,1,History
25,0,0.0,0.0,0,History
26,3,4.0,41.0,1,History
27,0,0.0,0.0,0,History
28,4,6.0,38.0,1,History
29,3,5.0,41.0,1,History
30,0,0.0,0.0,0,History
31,2,7.0,45.0,0,History
32,2,5.0,47.0,0,Encompassing
33,1,5.0,42.0,1,History
34,2,5.0,49.0,0,Encompassing
35,2,5.0,41.0,0,History
36,2,6.0,43.0,0,History
37,3,6.0,48.0,0,Encompassing
38,2,5.0,46.0,1,History
39,4,8.0,51.0,0,Paleo
40,0,0.0,0.0,0,History
41,3,5.0,57.0,0,Encompassing
42,3,6.0,55.0,0,Encompassing
43,3,6.0,53.0,0,Encompassing
44,3,6.0,57.0,0,Encompassing
45,3,6.0,54.0,0,Encompassing
46,2,6.0,57.0,0,Encompassing
47,2,6.0,59.0,0,Encompassing
48,3,7.0,60.0,0,Encompassing
49,3,6.0,57.0,0,Encompassing
50,3,6.0,53.0,0,Encompassing
51,0,0.0,0.0,0,History
52,3,3.0,26.0,2,History
53,0,0.0,0.0,0,History
54,0,0.0,0.0,0,History
55,0,0.0,0.0,0,History
56,2,5.0,41.0,2,History
57,0,0.0,0.0,0,History
58,0,0.0,0.0,0,History
59,2,4.0,31.0,1,Paleo
60,1,3.0,31.0,1,History
61,2,4.0,40.0,1,Paleo
62,2,4.0,38.0,1,History
63,0,0.0,0.0,0,Paleo
64,2,4.0,46.0,0,Paleo
65,2,5.0,50.0,1,Paleo
66,2,4.0,41.0,2,History
67,0,0.0,0.0,0,History
68,4,4.0,44.0,2,History
69,2,4.0,43.0,1,Paleo
70,2,4.0,38.0,1,Paleo
71,3,5.0,51.0,1,Encompassing
72,3,5.0,64.0,0,Encompassing
73,2,5.0,52.0,0,Encompassing
74,2,5.0,50.0,0,Encompassing
75,2,5.0,51.0,0,Encompassing
76,3,5.0,48.0,0,Paleo
77,2,5.0,52.0,0,Paleo
78,3,5.0,53.0,0,Encompassing
79,3,5.0,52.0,0,Encompassing
80,3,5.0,54.0,0,Encompassing
81,4,12.0,62.0,0,Encompassing
82,4,12.0,63.0,0,Encompassing
83,4,11.0,64.0,0,Encompassing
84,4,9.0,63.0,0,Encompassing
85,4,12.0,64.0,0,Encompassing
86,4,10.0,64.0,0,Encompassing
87,4,11.0,62.0,0,Encompassing
88,4,9.0,66.0,0,Encompassing
89,4,9.0,61.0,0,Encompassing
90,4,12.0,62.0,0,Encompassing
91,0,0.0,0.0,0,History
92,0,0.0,0.0,0,History
93,0,0.0,0.0,0,History
94,0,0.0,0.0,0,History
95,0,0.0,0.0,0,History
96,0,0.0,0.0,0,History
97,0,0.0,0.0,0,History
98,0,0.0,0.0,0,History
99,0,0.0,0.0,0,History
100,0,0.0,0.0,0,History
101,0,0.0,0.0,0,History
102,0,0.0,0.0,0,History
103,0,0.0,0.0,0,History
104,0,0.0,0.0,0,History
105,0,0.0,0.0,0,History
106,0,0.0,0.0,0,History
107,0,0.0,0.0,0,History
108,0,0.0,0.0,0,History
109,0,0.0,0.0,0,History
110,0,0.0,0.0,0,History
111,4,6.0,53.0,1,Encompassing
112,4,6.0,60.0,1,Paleo
113,4,7.0,58.0,1,Encompassing
114,3,6.0,62.0,1,Paleo
115,3,6.0,60.0,1,Paleo
116,3,6.0,62.0,1,Paleo
117,3,7.0,59.0,1,History
118,4,7.0,63.0,0,Paleo
119,3,7.0,71.0,0,Paleo
120,3,6.0,61.0,1,Encompassing
121,4,6.0,63.0,0,Encompassing
122,4,8.0,59.0,0,Encompassing
123,3,7.0,63.0,0,Encompassing
124,4,7.0,70.0,0,Encompassing
125,4,7.0,65.0,0,Encompassing
126,4,9.0,66.0,0,Encompassing
127,4,6.0,63.0,0,Encompassing
128,4,8.0,62.0,0,Encompassing
129,3,7.0,65.0,0,Encompassing
130,4,7.0,73.0,0,Encompassing
131,2,5.0,50.0,0,Encompassing
132,3,6.0,55.0,0,Encompassing
133,2,5.0,61.0,0,Encompassing
134,2,5.0,51.0,0,Encompassing
135,3,6.0,53.0,0,Encompassing
136,3,5.0,59.0,0,Encompassing
137,3,5.0,64.0,0,Encompassing
138,3,5.0,57.0,0,Encompassing
139,3,6.0,61.0,0,Encompassing
140,3,6.0,54.0,0,Encompassing
141,3,6.0,59.0,0,Paleo
142,3,8.0,60.0,0,Encompassing
143,2,6.0,49.0,0,Encompassing
144,2,6.0,50.0,0,Paleo
145,3,8.0,57.0,0,Paleo
146,4,8.0,50.0,0,History
147,3,7.0,55.0,0,Paleo
148,3,8.0,57.0,0,Paleo
149,2,6.0,54.0,0,Encompassing
150,3,8.0,59.0,0,Encompassing
151,5,10.0,66.0,0,Paleo
152,4,11.0,62.0,1,Paleo
153,4,9.0,64.0,0,Encompassing
154,4,8.0,74.0,0,Encompassing
155,4,10.0,59.0,1,History
156,5,8.0,64.0,1,Paleo
157,5,10.0,68.0,0,Paleo
158,4,8.0,65.0,0,Paleo
159,5,10.0,64.0,0,Paleo
160,4,11.0,59.0,0,Paleo
161,4,7.0,65.0,1,Paleo
162,3,6.0,60.0,1,Encompassing
163,4,6.0,60.0,1,Paleo
