,Duration,Magnitude,%_users,Outflow_drought_min,Outflow_10th,%_users_36,Magnitude_36,%_users_37,Magnitude_37,%_users_38,Magnitude_38,%_users_39,Magnitude_39,%_users_45,Magnitude_45,%_users_50,Magnitude_50,%_users_51,Magnitude_51,%_users_52,Magnitude_52,%_users_53,Magnitude_53,%_users_70,Magnitude_70,%_users_72,Magnitude_72,Classification
1,0,0.0,0.0,0.0,50125.17358083745,,,,,,,,,,,,,,,,,,,,,,,History
2,0,4.0,33.0,36348.06899494799,42703.83263937891,11.0,0.0,8.0,1.0,18.0,2.0,32.0,4.0,45.0,6.0,41.0,3.0,19.0,1.0,0.0,0.0,39.0,7.0,60.0,6.0,74.0,8.0,History
3,0,4.0,31.0,37143.02951282099,40608.56570490181,7.0,0.0,8.0,1.0,14.0,3.0,40.0,6.0,48.0,6.0,38.0,3.0,16.0,1.0,0.0,0.0,39.0,7.0,40.0,5.0,68.0,11.0,Paleo
4,0,4.0,30.0,36081.27428249881,45619.06227442222,11.0,0.0,8.0,1.0,12.0,3.0,32.0,4.0,48.0,6.0,41.0,4.0,14.0,1.0,0.0,0.0,39.0,7.0,40.0,7.0,66.0,11.0,History
5,0,0.0,0.0,0.0,45710.05820037915,,,,,,,,,,,,,,,,,,,,,,,History
6,0,4.0,27.0,41533.01220821159,47046.64723743385,7.0,0.0,8.0,0.0,16.0,2.0,32.0,4.0,42.0,4.0,28.0,2.0,12.0,1.0,0.0,0.0,33.0,7.0,30.0,5.0,62.0,9.0,History
7,0,4.0,31.0,40811.10711690719,44917.377156872506,7.0,0.0,8.0,1.0,16.0,2.0,40.0,6.0,45.0,6.0,31.0,3.0,14.0,1.0,0.0,0.0,44.0,8.0,60.0,4.0,68.0,11.0,History
8,0,3.0,27.0,43280.8448174754,45292.57888427831,4.0,0.0,4.0,0.0,13.0,2.0,32.0,4.0,45.0,5.0,34.0,3.0,9.0,1.0,0.0,0.0,39.0,6.0,30.0,4.0,62.0,7.0,History
9,0,4.0,33.0,41635.357893603,45036.00652889845,7.0,0.0,8.0,1.0,20.0,2.0,36.0,5.0,45.0,5.0,34.0,2.0,21.0,1.0,0.0,0.0,39.0,7.0,60.0,6.0,72.0,9.0,History
10,0,4.0,27.0,39631.89358218,48020.97673152109,11.0,0.0,8.0,1.0,12.0,2.0,28.0,4.0,45.0,5.0,38.0,3.0,7.0,0.0,0.0,0.0,39.0,6.0,30.0,5.0,62.0,9.0,History
11,0,6.0,45.0,27679.89405970079,29129.197923550455,21.0,1.0,8.0,1.0,30.0,3.0,44.0,7.0,52.0,7.0,62.0,4.0,47.0,1.0,20.0,0.0,56.0,8.0,70.0,9.0,77.0,15.0,Encompassing
12,0,6.0,46.0,27282.221994344418,29618.522127181335,21.0,1.0,8.0,1.0,30.0,3.0,40.0,7.0,52.0,7.0,62.0,4.0,47.0,1.0,20.0,0.0,61.0,8.0,80.0,9.0,77.0,15.0,Encompassing
13,0,5.0,44.0,26072.205952107608,30372.247101783978,21.0,1.0,8.0,1.0,30.0,3.0,40.0,7.0,48.0,7.0,66.0,4.0,42.0,1.0,20.0,0.0,56.0,8.0,60.0,8.0,75.0,14.0,Encompassing
14,0,6.0,46.0,26133.350878415396,29297.02027663487,21.0,1.0,8.0,1.0,28.0,3.0,48.0,7.0,52.0,8.0,62.0,4.0,51.0,2.0,20.0,0.0,61.0,9.0,80.0,8.0,77.0,16.0,Encompassing
15,0,5.0,41.0,29114.958856347625,31312.169361149292,18.0,1.0,8.0,1.0,25.0,3.0,44.0,7.0,52.0,6.0,52.0,4.0,33.0,1.0,20.0,0.0,61.0,8.0,60.0,8.0,77.0,14.0,Encompassing
16,0,5.0,45.0,28421.658207985187,30002.475901350826,21.0,1.0,8.0,1.0,30.0,3.0,44.0,7.0,48.0,7.0,66.0,4.0,44.0,1.0,20.0,0.0,56.0,8.0,60.0,8.0,77.0,15.0,Encompassing
17,0,6.0,45.0,26281.96076567938,28610.320482777002,21.0,1.0,8.0,1.0,28.0,3.0,44.0,7.0,52.0,7.0,66.0,4.0,47.0,2.0,20.0,0.0,61.0,8.0,70.0,9.0,77.0,15.0,Encompassing
18,0,6.0,43.0,22873.178304698406,27462.698883911406,21.0,1.0,8.0,1.0,29.0,3.0,40.0,8.0,48.0,7.0,62.0,4.0,37.0,2.0,20.0,0.0,56.0,8.0,60.0,9.0,77.0,15.0,Encompassing
19,0,6.0,45.0,26317.719403061386,27905.026444176838,21.0,1.0,8.0,2.0,30.0,3.0,40.0,8.0,52.0,8.0,55.0,5.0,47.0,2.0,20.0,0.0,61.0,9.0,60.0,9.0,77.0,16.0,Encompassing
20,0,6.0,42.0,25675.293711540013,28427.599889815814,21.0,1.0,8.0,1.0,28.0,3.0,40.0,7.0,48.0,7.0,55.0,4.0,37.0,2.0,20.0,0.0,56.0,9.0,60.0,9.0,77.0,15.0,Encompassing
21,0,0.0,0.0,0.0,59071.46930511785,,,,,,,,,,,,,,,,,,,,,,,History
22,0,0.0,0.0,0.0,53985.48488291913,,,,,,,,,,,,,,,,,,,,,,,History
23,0,0.0,0.0,0.0,55209.386723171265,,,,,,,,,,,,,,,,,,,,,,,History
24,0,4.0,37.0,40005.050196761404,47904.78743319193,14.0,1.0,8.0,1.0,21.0,3.0,32.0,6.0,52.0,6.0,52.0,4.0,30.0,1.0,20.0,0.0,44.0,7.0,60.0,8.0,68.0,8.0,History
25,0,0.0,0.0,0.0,57972.083998826616,,,,,,,,,,,,,,,,,,,,,,,History
26,0,0.0,0.0,0.0,51243.47605740609,,,,,,,,,,,,,,,,,,,,,,,History
27,0,0.0,0.0,0.0,51355.71920076072,,,,,,,,,,,,,,,,,,,,,,,History
28,0,6.0,38.0,37209.65233180261,53214.48400892208,11.0,1.0,8.0,1.0,24.0,3.0,36.0,7.0,52.0,8.0,48.0,4.0,26.0,1.0,20.0,0.0,44.0,9.0,60.0,10.0,75.0,14.0,History
29,0,5.0,41.0,35724.78570748078,44651.94050788513,21.0,1.0,8.0,1.0,25.0,3.0,36.0,7.0,52.0,6.0,55.0,4.0,33.0,1.0,20.0,0.0,56.0,9.0,60.0,7.0,77.0,13.0,History
30,0,0.0,0.0,0.0,54821.29782461543,,,,,,,,,,,,,,,,,,,,,,,History
31,0,7.0,45.0,19440.289908900017,43390.148573700586,21.0,1.0,8.0,2.0,30.0,3.0,36.0,8.0,52.0,8.0,62.0,6.0,47.0,3.0,20.0,0.0,61.0,10.0,70.0,9.0,75.0,17.0,History
32,0,5.0,47.0,18182.698473637185,23377.983938401027,21.0,1.0,12.0,1.0,32.0,3.0,48.0,5.0,52.0,7.0,66.0,5.0,49.0,2.0,20.0,0.0,61.0,8.0,70.0,8.0,77.0,12.0,Encompassing
33,0,6.0,42.0,38454.843574529994,52443.361513619515,21.0,1.0,8.0,1.0,26.0,3.0,44.0,7.0,45.0,7.0,55.0,5.0,44.0,2.0,20.0,0.0,56.0,8.0,60.0,8.0,70.0,15.0,History
34,0,5.0,49.0,17011.75420089723,26167.122870010335,25.0,1.0,12.0,2.0,33.0,4.0,44.0,5.0,58.0,7.0,62.0,6.0,56.0,3.0,20.0,0.0,61.0,9.0,70.0,9.0,79.0,12.0,Paleo
35,0,5.0,37.0,33274.8725264022,46552.11848069602,21.0,1.0,8.0,1.0,24.0,3.0,36.0,5.0,48.0,7.0,55.0,4.0,23.0,1.0,0.0,0.0,50.0,8.0,60.0,7.0,68.0,10.0,History
36,0,6.0,43.0,19228.106369664,47103.311911147706,21.0,1.0,8.0,2.0,30.0,4.0,36.0,8.0,48.0,7.0,59.0,6.0,44.0,3.0,0.0,0.0,61.0,10.0,60.0,10.0,75.0,16.0,History
37,0,6.0,48.0,19578.0611915874,30970.971519916806,21.0,2.0,12.0,2.0,32.0,4.0,44.0,7.0,58.0,8.0,62.0,7.0,49.0,3.0,20.0,0.0,56.0,9.0,80.0,10.0,79.0,16.0,Paleo
38,0,5.0,46.0,38034.75051049501,52330.74832572494,21.0,1.0,8.0,1.0,30.0,4.0,40.0,5.0,55.0,7.0,62.0,6.0,53.0,3.0,20.0,0.0,56.0,9.0,80.0,10.0,74.0,9.0,History
39,0,8.0,51.0,18938.012419494604,30951.592534053394,32.0,2.0,17.0,2.0,37.0,4.0,40.0,9.0,58.0,8.0,62.0,8.0,56.0,5.0,20.0,0.0,56.0,11.0,80.0,13.0,81.0,21.0,Paleo
40,0,0.0,0.0,0.0,64127.67574978997,,,,,,,,,,,,,,,,,,,,,,,History
41,0,5.0,57.0,29489.87441597581,36234.54155034324,43.0,1.0,33.0,1.0,43.0,3.0,56.0,6.0,58.0,6.0,66.0,4.0,58.0,2.0,20.0,0.0,61.0,9.0,80.0,8.0,89.0,13.0,Encompassing
42,0,6.0,55.0,29737.838795266212,32292.595955773933,39.0,1.0,29.0,1.0,41.0,3.0,44.0,7.0,58.0,7.0,66.0,5.0,58.0,2.0,20.0,0.0,61.0,9.0,80.0,9.0,83.0,15.0,Encompassing
43,0,6.0,53.0,24628.49691500638,31203.818346266387,25.0,1.0,21.0,2.0,41.0,4.0,48.0,7.0,61.0,7.0,66.0,6.0,56.0,3.0,20.0,0.0,56.0,9.0,80.0,10.0,87.0,16.0,Encompassing
